branch_id,branch,broad_query,exact_query,broad_works,exact_works,exact_to_broad_count_ratio,broad_survival_ratio,exact_survival_ratio,survival_ratio_delta
expert-systems,Expert systems,expert system,"""expert system*""",41319,35043,0.8481,0.0862,0.0618,-0.0244
symbolic-ai,Symbolic AI,symbolic artificial intelligence,"""symbolic artificial intelligence""",196,54,0.2755,0.9501,1,0.0499
case-based-reasoning,Case-based reasoning,case based reasoning,"""case-based reasoning""|""case based reasoning""",7403,6643,0.8973,0.419,0.3762,-0.0429
inductive-logic-programming,Inductive logic programming,inductive logic programming,"""inductive logic programming""",883,804,0.9105,0.1229,0.1266,0.0036
learning-classifier-systems,Learning classifier systems,learning classifier system,"""learning classifier system*""",1377,707,0.5134,0.7796,0.1626,-0.617
fuzzy-logic,Fuzzy logic,fuzzy logic,"""fuzzy logic""",50903,49051,0.9636,0.9313,0.9615,0.0302
genetic-programming,Genetic programming,genetic programming,"""genetic programming""",15898,10276,0.6464,0.6347,0.531,-0.1037
artificial-life,Artificial life,artificial life,"""artificial life""",4214,1859,0.4411,1,0.2165,-0.7835
self-organizing-maps,Self-organizing maps,self organizing map,"""self-organizing map*""|""self organizing map*""",9612,8833,0.919,0.385,0.4358,0.0508
hopfield-networks,Hopfield networks,hopfield network,"""hopfield network*""",4677,1122,0.2399,0.4202,0.4051,-0.015
boltzmann-machines,Boltzmann machines,boltzmann machine,"""boltzmann machine*""",2541,2461,0.9685,0.6829,0.6409,-0.042
reservoir-computing,Reservoir computing,reservoir computing,"""reservoir computing""",3748,3350,0.8938,1,1,0
neuroevolution,Neuroevolution,neuroevolution,neuroevolution,817,817,1,1,1,0
symbolic-regression,Symbolic regression,symbolic regression,"""symbolic regression""",1825,1746,0.9567,1,1,0
support-vector-machines,Support vector machines (control),support vector machine,"""support vector machine*""",45747,45270,0.9896,0.8206,0.8172,-0.0034
bayesian-networks,Bayesian networks (control),bayesian network,"""bayesian network*""",31183,22058,0.7074,1,1,0
