branch_id,branch,openalex_id,title,year,cited_by_count,doi,primary_url
expert-systems,Expert systems,https://openalex.org/W1593793857,Local Computations with Probabilities on Graphical Structures and Their Application to Expert Systems,1988,3979,https://doi.org/10.1111/j.2517-6161.1988.tb01721.x,https://doi.org/10.1111/j.2517-6161.1988.tb01721.x
expert-systems,Expert systems,https://openalex.org/W1564733196,Building Expert Systems,1986,1943,https://doi.org/10.1515/zwf-1986-811227,https://doi.org/10.1515/zwf-1986-811227
expert-systems,Expert systems,https://openalex.org/W1513861746,Probabilistic Networks and Expert Systems,1999,1739,https://doi.org/10.1007/b97670,https://doi.org/10.1007/b97670
expert-systems,Expert systems,https://openalex.org/W1549872659,Rule-Based Expert Systems: The MYCIN Experiments of the Stanford Heuristic Programming Project,1986,1711,https://doi.org/10.1016/s0736-5853(86)80073-9,https://doi.org/10.1016/s0736-5853(86)80073-9
expert-systems,Expert systems,https://openalex.org/W3093981756,Building expert systems,1983,1699,,http://katalog.pustaka.unand.ac.id//index.php?p=show_detail&amp;id=31605
symbolic-ai,Symbolic AI,https://openalex.org/W2930003055,Reconciling deep learning with symbolic artificial intelligence: representing objects and relations,2019,260,https://doi.org/10.1016/j.cobeha.2018.12.010,https://doi.org/10.1016/j.cobeha.2018.12.010
symbolic-ai,Symbolic AI,https://openalex.org/W4399387213,Neuro-symbolic artificial intelligence: a survey,2024,179,https://doi.org/10.1007/s00521-024-09960-z,https://doi.org/10.1007/s00521-024-09960-z
symbolic-ai,Symbolic AI,https://openalex.org/W3200351420,Neuro-symbolic artificial intelligence,2021,165,https://doi.org/10.3233/aic-210084,https://doi.org/10.3233/aic-210084
symbolic-ai,Symbolic AI,https://openalex.org/W2001379035,Quantum aspects of semantic analysis and symbolic artificial intelligence,2004,143,https://doi.org/10.1088/0305-4470/37/12/l01,https://doi.org/10.1088/0305-4470/37/12/l01
symbolic-ai,Symbolic AI,https://openalex.org/W4206078757,Neuro-Symbolic Artificial Intelligence: The State of the Art,2021,138,https://doi.org/10.3233/faia342,https://doi.org/10.3233/faia342
case-based-reasoning,Case-based reasoning,https://openalex.org/W2126385963,"Case-Based Reasoning: Foundational Issues, Methodological Variations, and System Approaches",1994,5582,https://doi.org/10.3233/aic-1994-7104,https://doi.org/10.3233/aic-1994-7104
case-based-reasoning,Case-based reasoning,https://openalex.org/W1500151553,Case-Based Reasoning,2005,4251,https://doi.org/10.1017/cbo9780511816833.015,https://doi.org/10.1017/cbo9780511816833.015
case-based-reasoning,Case-based reasoning,https://openalex.org/W1563716826,Inside Case-Based Reasoning,2013,1407,https://doi.org/10.4324/9780203781821,https://doi.org/10.4324/9780203781821
