branch_id,branch,title_query,works_1950_2025,peak_window,peak_share_per_100k,recent_share_per_100k,survival_ratio,recent_trend_ratio,trajectory
expert-systems,Expert systems,"""expert system*""",35043,1987-1991,86.1501,5.3225,0.0618,0.8875,contracted / label largely died
symbolic-ai,Symbolic AI,"""symbolic artificial intelligence""",54,2021-2025,0.0679,0.0679,1,4.6995,growing / revived
case-based-reasoning,Case-based reasoning,"""case-based reasoning""|""case based reasoning""",6643,2002-2006,4.4115,1.6595,0.3762,0.7573,surviving niche
inductive-logic-programming,Inductive logic programming,"""inductive logic programming""",804,1996-2000,1.109,0.1404,0.1266,0.9164,legacy niche
learning-classifier-systems,Learning classifier systems,"""learning classifier system*""",707,2002-2006,0.7631,0.1241,0.1626,0.8874,legacy niche
fuzzy-logic,Fuzzy logic,"""fuzzy logic""",49051,2002-2006,22.3498,21.4882,0.9615,1.0138,active
genetic-programming,Genetic programming,"""genetic programming""",10276,2002-2006,6.3363,3.3644,0.531,0.8807,surviving niche
artificial-life,Artificial life,"""artificial life""",1859,1994-1998,1.9806,0.4288,0.2165,1.1011,legacy niche
self-organizing-maps,Self-organizing maps,"""self-organizing map*""|""self organizing map*""",8833,2002-2006,5.6715,2.4717,0.4358,0.7201,surviving niche
hopfield-networks,Hopfield networks,"""hopfield network*""",1122,1999-2003,0.9884,0.4004,0.4051,2.3007,reviving
boltzmann-machines,Boltzmann machines,"""boltzmann machine*""",2461,2015-2019,1.681,1.0774,0.6409,0.6551,surviving niche
reservoir-computing,Reservoir computing,"""reservoir computing""",3350,2021-2025,4.0752,4.0752,1,3.2449,growing / revived
neuroevolution,Neuroevolution,neuroevolution,817,2021-2025,0.7262,0.7262,1,1.8401,growing / revived
symbolic-regression,Symbolic regression,"""symbolic regression""",1746,2021-2025,1.9646,1.9646,1,3.356,growing / revived
support-vector-machines,Support vector machines (control),"""support vector machine*""",45270,2006-2010,25.9624,21.2159,0.8172,1.0909,active
bayesian-networks,Bayesian networks (control),"""bayesian network*""",22058,2021-2025,11.5041,11.5041,1,1.1949,active
