branch_id,branch,query,year,works,total_works,share_per_100k
expert-systems,Expert systems,"""expert system*""",1950,0,312851,0
expert-systems,Expert systems,"""expert system*""",1951,0,319173,0
expert-systems,Expert systems,"""expert system*""",1952,0,330035,0
expert-systems,Expert systems,"""expert system*""",1953,0,346304,0
expert-systems,Expert systems,"""expert system*""",1954,0,355124,0
expert-systems,Expert systems,"""expert system*""",1955,0,365453,0
expert-systems,Expert systems,"""expert system*""",1956,0,374480,0
expert-systems,Expert systems,"""expert system*""",1957,0,393989,0
expert-systems,Expert systems,"""expert system*""",1958,0,418068,0
expert-systems,Expert systems,"""expert system*""",1959,0,442727,0
expert-systems,Expert systems,"""expert system*""",1960,0,500061,0
expert-systems,Expert systems,"""expert system*""",1961,1,489185,0.2044
expert-systems,Expert systems,"""expert system*""",1962,0,516715,0
expert-systems,Expert systems,"""expert system*""",1963,0,568963,0
expert-systems,Expert systems,"""expert system*""",1964,0,600620,0
expert-systems,Expert systems,"""expert system*""",1965,0,648891,0
expert-systems,Expert systems,"""expert system*""",1966,0,703066,0
expert-systems,Expert systems,"""expert system*""",1967,0,755142,0
expert-systems,Expert systems,"""expert system*""",1968,1,808598,0.1237
expert-systems,Expert systems,"""expert system*""",1969,0,861849,0
expert-systems,Expert systems,"""expert system*""",1970,52,1010448,5.1462
expert-systems,Expert systems,"""expert system*""",1971,0,933800,0
expert-systems,Expert systems,"""expert system*""",1972,0,975399,0
expert-systems,Expert systems,"""expert system*""",1973,0,994696,0
expert-systems,Expert systems,"""expert system*""",1974,0,1035402,0
expert-systems,Expert systems,"""expert system*""",1975,1,1078301,0.0927
expert-systems,Expert systems,"""expert system*""",1976,1,1101044,0.0908
expert-systems,Expert systems,"""expert system*""",1977,1,1148931,0.087
expert-systems,Expert systems,"""expert system*""",1978,1,1200250,0.0833
expert-systems,Expert systems,"""expert system*""",1979,3,1246297,0.2407
expert-systems,Expert systems,"""expert system*""",1980,7,1367320,0.512
expert-systems,Expert systems,"""expert system*""",1981,24,1357201,1.7683
expert-systems,Expert systems,"""expert system*""",1982,42,1390231,3.0211
expert-systems,Expert systems,"""expert system*""",1983,121,1446210,8.3667
expert-systems,Expert systems,"""expert system*""",1984,261,1515009,17.2276
expert-systems,Expert systems,"""expert system*""",1985,557,1564860,35.5942
expert-systems,Expert systems,"""expert system*""",1986,990,1643998,60.2191
expert-systems,Expert systems,"""expert system*""",1987,1434,1731592,82.814
expert-systems,Expert systems,"""expert system*""",1988,1675,1812208,92.4287
expert-systems,Expert systems,"""expert system*""",1989,1745,1930828,90.3757
expert-systems,Expert systems,"""expert system*""",1990,1859,2092175,88.8549
expert-systems,Expert systems,"""expert system*""",1991,1593,2088432,76.2773
expert-systems,Expert systems,"""expert system*""",1992,1472,2187437,67.2934
expert-systems,Expert systems,"""expert system*""",1993,1158,2281828,50.7488
expert-systems,Expert systems,"""expert system*""",1994,989,2408187,41.0682
expert-systems,Expert systems,"""expert system*""",1995,804,2559331,31.4145
expert-systems,Expert systems,"""expert system*""",1996,741,2772211,26.7296
expert-systems,Expert systems,"""expert system*""",1997,588,2863925,20.5313
expert-systems,Expert systems,"""expert system*""",1998,497,3049279,16.2989
expert-systems,Expert systems,"""expert system*""",1999,473,3164532,14.9469
expert-systems,Expert systems,"""expert system*""",2000,524,3819839,13.7179
expert-systems,Expert systems,"""expert system*""",2001,500,3823161,13.0782
expert-systems,Expert systems,"""expert system*""",2002,1243,4435510,28.0238
expert-systems,Expert systems,"""expert system*""",2003,942,4719053,19.9616
expert-systems,Expert systems,"""expert system*""",2004,608,5122354,11.8695
expert-systems,Expert systems,"""expert system*""",2005,862,5473330,15.7491
expert-systems,Expert systems,"""expert system*""",2006,675,5962176,11.3214
expert-systems,Expert systems,"""expert system*""",2007,654,6498279,10.0642
expert-systems,Expert systems,"""expert system*""",2008,730,6992649,10.4395
expert-systems,Expert systems,"""expert system*""",2009,757,7564516,10.0072
expert-systems,Expert systems,"""expert system*""",2010,817,8106478,10.0784
expert-systems,Expert systems,"""expert system*""",2011,786,8722894,9.0108
expert-systems,Expert systems,"""expert system*""",2012,722,8993417,8.0281
expert-systems,Expert systems,"""expert system*""",2013,697,9445386,7.3793
expert-systems,Expert systems,"""expert system*""",2014,638,9998226,6.3811
expert-systems,Expert systems,"""expert system*""",2015,551,10215433,5.3938
expert-systems,Expert systems,"""expert system*""",2016,537,10628204,5.0526
expert-systems,Expert systems,"""expert system*""",2017,634,10486826,6.0457
expert-systems,Expert systems,"""expert system*""",2018,666,10440560,6.379
expert-systems,Expert systems,"""expert system*""",2019,730,10809025,6.7536
expert-systems,Expert systems,"""expert system*""",2020,662,11502225,5.7554
expert-systems,Expert systems,"""expert system*""",2021,611,10787054,5.6642
expert-systems,Expert systems,"""expert system*""",2022,557,10282098,5.4172
expert-systems,Expert systems,"""expert system*""",2023,620,10918455,5.6785
expert-systems,Expert systems,"""expert system*""",2024,619,10868091,5.6956
expert-systems,Expert systems,"""expert system*""",2025,610,14673699,4.1571
